116,2020-Overall,National,All,75-84,7429270.0,3538651.0,0.4763
117,2020-Overall,National,All,85 and over,3174501.0,1492328.0,0.4701
118,2020-Overall,National,All,All,23064005.0,10448624.0,0.453
119,2020-Overall,National,All,All,1451361.0,753774.0,0.5194
120,2020-Overall,National,All,All,223482.0,132078.0,0.591
121,2020-Overall,National,Female,All,13649877.0,6480774.0,0.4748
122,2020-Overall,National,Male,All,11088971.0,4853702.0,0.4377
123,2020-Overall,National,All,All,97148.0,49983.0,0.5145
124,2020-Overall,National,All,All,463952.0,216066.0,0.4657
125,2020-Overall,National,All,All,1531388.0,729273.0,0.4762
126,2020-Overall,National,All,All,896031.0,426698.0,0.4762
127,2020-Overall,National,All,All,21040209.0,9585769.0,0.4556
129,2020-Overall,Alabama,All,All,492293.0,206967.0,0.4204
130,2020-Overall,Alaska,All,All,79935.0,38164.0,0.4774
131,2020-Overall,Arizona,All,All,649607.0,330868.0,0.5093
132,2020-Overall,Arkansas,All,All,395264.0,156778.0,0.3966
133,2020-Overall,California,All,All,2685469.0,1602926.0,0.5969
134,2020-Overall,Colorado,All,All,419953.0,191989.0,0.4572
135,2020-Overall,Connecticut,All,All,310439.0,181962.0,0.5861
136,2020-Overall,Delaware,All,All,156929.0,96701.0,0.6162
137,2020-Overall,District Of Columbia,All,All,53978.0,31743.0,0.5881
138,2020-Overall,Florida,All,All,2076794.0,1000400.0,0.4817
139,2020-Overall,Georgia,All,All,857349.0,350406.0,0.4087
140,2020-Overall,Hawaii,All,All,101595.0,52125.0,0.5131
141,2020-Overall,Idaho,All,All,182775.0,61565.0,0.3368
142,2020-Overall,Illinois,All,All,1335330.0,610824.0,0.4574
143,2020-Overall,Indiana,All,All,717812.0,322339.0,0.4491
144,2020-Overall,Iowa,All,All,423543.0,149052.0,0.3519
145,2020-Overall,Kansas,All,All,376312.0,117844.0,0.3132
146,2020-Overall,Kentucky,All,All,505297.0,231808.0,0.4588
147,2020-Overall,Louisiana,All,All,444275.0,188604.0,0.4245
148,2020-Overall,Maine,All,All,167352.0,78285.0,0.4678
149,2020-Overall,Maryland,All,All,744753.0,440009.0,0.5908
150,2020-Overall,Massachusetts,All,All,834237.0,577879.0,0.6927
151,2020-Overall,Michigan,All,All,936663.0,456287.0,0.4871
152,2020-Overall,Minnesota,All,All,440725.0,225466.0,0.5116
154,2020-Overall,Mississippi,All,All,421790.0,181157.0,0.4295
155,2020-Overall,Missouri,All,All,633574.0,225058.0,0.3552
156,2020-Overall,Montana,All,All,159490.0,49185.0,0.3084
157,2020-Overall,Nebraska,All,All,245325.0,69034.0,0.2814
158,2020-Overall,Nevada,All,All,250370.0,110315.0,0.4406
159,2020-Overall,New Hampshire,All,All,195910.0,108006.0,0.5513
160,2020-Overall,New Jersey,All,All,916066.0,509810.0,0.5565
161,2020-Overall,New Mexico,All,All,208690.0,113745.0,0.545
162,2020-Overall,New York,All,All,1680581.0,899888.0,0.5355
163,2020-Overall,North Carolina,All,All,1063710.0,463253.0,0.4355
164,2020-Overall,North Dakota,All,All,93436.0,24094.0,0.2579
165,2020-Overall,Ohio,All,All,1085787.0,515904.0,0.4751
166,2020-Overall,Oklahoma,All,All,483223.0,196818.0,0.4073
167,2020-Overall,Oregon,All,All,365262.0,178742.0,0.4894
168,2020-Overall,Pennsylvania,All,All,1279652.0,648854.0,0.5071
169,2020-Overall,Puerto Rico,All,All,40100.0,15836.0,0.3949
170,2020-Overall,Rhode Island,All,All,90556.0,59970.0,0.6622
171,2020-Overall,South Carolina,All,All,660298.0,249151.0,0.3773
172,2020-Overall,South Dakota,All,All,118383.0,40049.0,0.3383
173,2020-Overall,Tennessee,All,All,684874.0,212110.0,0.3097
174,2020-Overall,Territories,All,All,12066.0,1752.0,0.1452
175,2020-Overall,Texas,All,All,1988144.0,1010215.0,0.5081
176,2020-Overall,Utah,All,All,202410.0,81868.0,0.4045
177,2020-Overall,Vermont,All,All,110776.0,61207.0,0.5525
178,2020-Overall,Virgin Islands,All,All,14776.0,4599.0,0.3112
179,2020-Overall,Virginia,All,All,979034.0,446334.0,0.4559
180,2020-Overall,Washington,All,All,701976.0,299696.0,0.4269
181,2020-Overall,West Virginia,All,All,235197.0,103198.0,0.4388
182,2020-Overall,Wisconsin,All,All,541214.0,217375.0,0.4016
183,2020-Overall,Wyoming,All,All,92073.0,27754.0,0.3014
184,2020-Overall,Alabama,All,All,147873.0,56053.0,0.3791
185,2020-Overall,Alaska,All,All,37859.0,17169.0,0.4535
186,2020-Overall,Arizona,All,All,97867.0,43229.0,0.4417
187,2020-Overall,Arkansas,All,All,180185.0,66119.0,0.367
188,2020-Overall,California,All,All,301085.0,162941.0,0.5412
189,2020-Overall,Colorado,All,All,104367.0,39544.0,0.3789
190,2020-Overall,Connecticut,All,All,13672.0,7320.0,0.5354
191,2020-Overall,Delaware,All,All,48024.0,28640.0,0.5964
193,2020-Overall,Florida,All,All,81707.0,32523.0,0.398
194,2020-Overall,Georgia,All,All,182128.0,67462.0,0.3704
195,2020-Overall,Hawaii,All,All,33284.0,14227.0,0.4274
196,2020-Overall,Idaho,All,All,76842.0,21883.0,0.2848
197,2020-Overall,Illinois,All,All,250977.0,86460.0,0.3445
198,2020-Overall,Indiana,All,All,206682.0,82366.0,0.3985
199,2020-Overall,Iowa,All,All,231806.0,73105.0,0.3154
200,2020-Overall,Kansas,All,All,178617.0,51446.0,0.288
201,2020-Overall,Kentucky,All,All,261580.0,121369.0,0.464
202,2020-Overall,Louisiana,All,All,103812.0,44033.0,0.4242
203,2020-Overall,Maine,All,All,94314.0,42473.0,0.4503
204,2020-Overall,Maryland,All,All,43854.0,22638.0,0.5162
205,2020-Overall,Massachusetts,All,All,32594.0,21767.0,0.6678
206,2020-Overall,Michigan,All,All,237391.0,100221.0,0.4222
207,2020-Overall,Minnesota,All,All,162957.0,66563.0,0.4085
208,2020-Overall,Mississippi,All,All,252240.0,101031.0,0.4005
209,2020-Overall,Missouri,All,All,232911.0,69061.0,0.2965
210,2020-Overall,Montana,All,All,107388.0,32779.0,0.3052
211,2020-Overall,Nebraska,All,All,125006.0,31640.0,0.2531
212,2020-Overall,Nevada,All,All,44154.0,16280.0,0.3687
213,2020-Overall,New Hampshire,All,All,84912.0,43433.0,0.5115
214,2020-Overall,New Jersey,All,All,10795.0,5903.0,0.5468
215,2020-Overall,New Mexico,All,All,88780.0,43432.0,0.4892
216,2020-Overall,New York,All,All,204764.0,104069.0,0.5082
217,2020-Overall,North Carolina,All,All,328919.0,134744.0,0.4097
218,2020-Overall,North Dakota,All,All,55012.0,13422.0,0.244
219,2020-Overall,Ohio,All,All,310644.0,141886.0,0.4567
220,2020-Overall,Oklahoma,All,All,235451.0,89796.0,0.3814
221,2020-Overall,Oregon,All,All,151009.0,66193.0,0.4383
222,2020-Overall,Pennsylvania,All,All,188213.0,75553.0,0.4014
223,2020-Overall,Rhode Island,All,All,212.0,103.0,0.4858
224,2020-Overall,South Carolina,All,All,124081.0,40660.0,0.3277
225,2020-Overall,South Dakota,All,All,73659.0,24290.0,0.3298
226,2020-Overall,Tennessee,All,All,234605.0,66802.0,0.2847
227,2020-Overall,Texas,All,All,401028.0,174065.0,0.434
228,2020-Overall,Utah,All,All,46186.0,16883.0,0.3655
229,2020-Overall,Vermont,All,All,81943.0,42380.0,0.5172
230,2020-Overall,Virginia,All,All,181323.0,69747.0,0.3847
231,2020-Overall,Washington,All,All,160862.0,62331.0,0.3875
232,2020-Overall,West Virginia,All,All,80354.0,31945.0,0.3976
233,2020-Overall,Wisconsin,All,All,204483.0,73082.0,0.3574
234,2020-Overall,Wyoming,All,All,63326.0,18077.0,0.2855
235,2020-Overall,Alabama,All,All,343244.0,150453.0,0.4383
236,2020-Overall,Alaska,All,All,39270.0,19780.0,0.5037
237,2020-Overall,Arizona,All,All,550378.0,287125.0,0.5217
238,2020-Overall,Arkansas,All,All,213120.0,89950.0,0.4221
239,2020-Overall,California,All,All,2382907.0,1439223.0,0.604
240,2020-Overall,Colorado,All,All,315312.0,152335.0,0.4831
241,2020-Overall,Connecticut,All,All,296709.0,174612.0,0.5885
242,2020-Overall,Delaware,All,All,108852.0,68029.0,0.625
